Chroma,Spectral Centroid,Spectral Bandwidth,Spectral Rolloff,Zero-Crossing Rate,Tempo,Mel_Spectrogram_1,Mel_Spectrogram_2,Mel_Spectrogram_3,Mel_Spectrogram_4,Mel_Spectrogram_5,Mel_Spectrogram_6,Mel_Spectrogram_7,Mel_Spectrogram_8,Mel_Spectrogram_9,Mel_Spectrogram_10,Mel_Spectrogram_11,Mel_Spectrogram_12,Mel_Spectrogram_13,Mel_Spectrogram_14,Mel_Spectrogram_15,Mel_Spectrogram_16,Mel_Spectrogram_17,Mel_Spectrogram_18,Mel_Spectrogram_19,Mel_Spectrogram_20,Mel_Spectrogram_21,Mel_Spectrogram_22,Mel_Spectrogram_23,Mel_Spectrogram_24,Mel_Spectrogram_25,Mel_Spectrogram_26,Mel_Spectrogram_27,Mel_Spectrogram_28,Mel_Spectrogram_29,Mel_Spectrogram_30,Mel_Spectrogram_31,Mel_Spectrogram_32,Mel_Spectrogram_33,Mel_Spectrogram_34,Mel_Spectrogram_35,Mel_Spectrogram_36,Mel_Spectrogram_37,Mel_Spectrogram_38,Mel_Spectrogram_39,Mel_Spectrogram_40,Mel_Spectrogram_41,Mel_Spectrogram_42,Mel_Spectrogram_43,Mel_Spectrogram_44,Mel_Spectrogram_45,Mel_Spectrogram_46,Mel_Spectrogram_47,Mel_Spectrogram_48,Mel_Spectrogram_49,Mel_Spectrogram_50,Mel_Spectrogram_51,Mel_Spectrogram_52,Mel_Spectrogram_53,Mel_Spectrogram_54,Mel_Spectrogram_55,Mel_Spectrogram_56,Mel_Spectrogram_57,Mel_Spectrogram_58,Mel_Spectrogram_59,Mel_Spectrogram_60,Mel_Spectrogram_61,Mel_Spectrogram_62,Mel_Spectrogram_63,Mel_Spectrogram_64,Mel_Spectrogram_65,Mel_Spectrogram_66,Mel_Spectrogram_67,Mel_Spectrogram_68,Mel_Spectrogram_69,Mel_Spectrogram_70,Mel_Spectrogram_71,Mel_Spectrogram_72,Mel_Spectrogram_73,Mel_Spectrogram_74,Mel_Spectrogram_75,Mel_Spectrogram_76,Mel_Spectrogram_77,Mel_Spectrogram_78,Mel_Spectrogram_79,Mel_Spectrogram_80,Mel_Spectrogram_81,Mel_Spectrogram_82,Mel_Spectrogram_83,Mel_Spectrogram_84,Mel_Spectrogram_85,Mel_Spectrogram_86,Mel_Spectrogram_87,Mel_Spectrogram_88,Mel_Spectrogram_89,Mel_Spectrogram_90,Mel_Spectrogram_91,Mel_Spectrogram_92,Mel_Spectrogram_93,Mel_Spectrogram_94,Mel_Spectrogram_95,Mel_Spectrogram_96,Mel_Spectrogram_97,Mel_Spectrogram_98,Mel_Spectrogram_99,Mel_Spectrogram_100,Mel_Spectrogram_101,Mel_Spectrogram_102,Mel_Spectrogram_103,Mel_Spectrogram_104,Mel_Spectrogram_105,Mel_Spectrogram_106,Mel_Spectrogram_107,Mel_Spectrogram_108,Mel_Spectrogram_109,Mel_Spectrogram_110,Mel_Spectrogram_111,Mel_Spectrogram_112,Mel_Spectrogram_113,Mel_Spectrogram_114,Mel_Spectrogram_115,Mel_Spectrogram_116,Mel_Spectrogram_117,Mel_Spectrogram_118,Mel_Spectrogram_119,Mel_Spectrogram_120,Mel_Spectrogram_121,Mel_Spectrogram_122,Mel_Spectrogram_123,Mel_Spectrogram_124,Mel_Spectrogram_125,Mel_Spectrogram_126,Mel_Spectrogram_127,Mel_Spectrogram_128,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,Label
0.25839812,2590.781523555563,2078.721989569411,4889.452671838747,0.16172267739752513,92.28515625,0.19773896,11.810369,17.507498,6.6374817,8.352051,9.529607,4.7279596,6.0009212,4.563915,5.81768,6.183247,5.4926147,3.660719,4.190978,2.979951,2.8085294,3.378777,2.4986472,0.8616436,1.6438141,2.3973103,2.5037355,5.1519103,5.6966286,2.5131097,2.540129,4.091074,6.0860486,1.6356694,1.2056208,4.4769216,3.0604756,1.870525,2.0678208,2.6582768,1.2876664,0.66086155,0.5050755,0.7254329,1.0476816,4.4964876,1.9824045,1.0563434,0.8217694,1.9915825,7.5904417,2.097125,0.9898329,1.3186439,1.1021843,0.9228233,1.4239476,1.7305356,0.8903599,0.8709423,2.0335627,1.5443126,1.0166095,1.95454,2.3409905,2.2843802,1.3111347,0.9131605,0.8486445,1.2679124,1.2099357,1.2728063,1.175628,1.054759,1.2438658,1.1656374,1.2171675,0.9502123,0.77101743,0.8405262,0.90227216,0.65499705,0.5700425,0.4628988,0.33786413,0.30242234,0.3185399,0.38901302,0.40657145,0.3937218,0.33688787,0.39958826,0.2267331,0.23675376,0.25997058,0.22756161,0.23773502,0.2215836,0.20346487,0.17457101,0.17492822,0.15828598,0.13208121,0.1354085,0.1142656,0.11237514,0.096601196,0.09349126,0.07446839,0.097851336,0.07671061,0.062103685,0.08198869,0.06310977,0.06164019,0.06679738,0.055975728,0.051230766,0.05398797,0.05318091,0.040474698,0.041811336,0.02930412,0.023629947,0.012911826,0.007351811,0.002898841,0.00063892093,0.00016301328,2.95113e-05,4.7647563e-06,9.210108e-07,6.608959e-07,-117.97405,84.0584,-50.26788,46.049637,-17.698416,20.855793,-21.641119,16.67161,-12.952743,12.837912,-13.080166,11.31062,-12.596916,rock
0.2382559,1537.468449342188,2037.176945765839,3416.651523528132,0.05433025787896365,117.45383522727273,5.252847,22.94718,35.668667,25.698421,36.95468,29.142239,41.32398,112.4869,43.773926,24.042204,6.73744,11.138304,4.5049148,3.4790733,6.6587486,8.663753,3.054407,3.2617536,1.6277256,2.7435036,1.3431541,0.51607037,0.7835229,1.9758223,1.0897074,0.7545755,1.5211824,1.801503,1.4760438,3.1114206,3.794733,7.2095547,2.8930707,0.365795,0.34679046,0.98305357,0.7572331,0.6010049,0.47750962,0.97449833,0.8033029,0.58702415,0.72842085,1.4563662,1.8820273,1.5072712,2.94169,0.6610408,0.18491046,0.12668575,0.18561806,0.23306347,0.23918925,0.11621554,0.20178036,0.2983999,0.49098456,0.85546565,0.13132232,0.065257035,0.13845183,0.27312186,0.12511677,0.09371213,0.12886487,0.18082859,0.09951603,0.08281187,0.08706024,0.20191978,0.112548046,0.08668041,0.17423669,0.07140711,0.0819608,0.06666945,0.07776678,0.08475227,0.08077037,0.04563077,0.053154882,0.08522028,0.0673272,0.06961219,0.055088434,0.049923077,0.04160928,0.049735107,0.035596464,0.060897917,0.039206628,0.029434986,0.021544924,0.02562366,0.024950633,0.030159786,0.036084957,0.031475984,0.02512864,0.014439898,0.017420776,0.024299787,0.023092046,0.026237508,0.03325849,0.033165727,0.025173586,0.029284818,0.033756368,0.035625774,0.03608179,0.030235656,0.045032434,0.057858966,0.04016406,0.028086549,0.0183609,0.015412628,0.009758215,0.0053435164,0.0027378183,0.0013369825,0.0005208088,0.0001406228,2.3473702e-05,2.9487435e-06,2.6553454e-07,4.6178688e-08,-169.68312,119.105644,7.161805,53.429665,4.125313,23.133099,-5.721344,24.986755,-9.328979,13.474868,-14.278746,5.959376,-13.598075,rock
0.2645375,2046.8578301908997,2070.164481073298,4095.472012761021,0.10197110039636505,135.99917763157896,1.6308135,28.402027,63.19978,60.608482,82.58266,37.16401,40.941525,37.31451,39.376236,19.338917,9.537107,7.375317,5.0191693,5.590952,2.556999,2.3919325,1.6014158,2.0248747,1.8446678,0.84358215,0.6920187,1.1595216,0.981758,0.71365786,0.8948522,0.64103514,1.5343726,1.8172631,0.8289998,0.56752205,1.18806,1.4747108,1.9382131,1.0410194,0.955164,1.053589,2.0002127,0.9438735,0.40331164,1.6624615,2.9797554,1.980783,3.2967973,1.744191,1.2216169,1.0416533,1.2499167,1.912726,0.72983336,0.8055165,1.1171491,3.1757314,1.7484614,1.0035447,0.7300196,1.8308289,1.9602041,1.9984419,2.08457,2.2661047,5.3761187,1.0371487,2.4343252,0.71738714,1.3946797,0.96567225,1.6159279,1.2305982,1.0222436,0.8125191,2.1606007,1.2678432,1.641546,2.3249094,0.53473955,0.3429623,0.4798293,1.1852899,0.50146735,0.2609978,0.3516051,0.5370038,0.44648883,0.55496734,0.5403196,0.5995992,0.501683,0.51187205,0.63693345,0.58282495,0.31720367,0.259523,0.16258374,0.15013823,0.11899079,0.095755555,0.08891949,0.0699673,0.0640991,0.06957561,0.06789593,0.06720346,0.053100195,0.05468832,0.04513064,0.038309935,0.030279255,0.031933907,0.027791377,0.024293471,0.026458422,0.021921145,0.019602038,0.017708926,0.016855069,0.015990853,0.01477675,0.01347488,0.012452417,0.013077295,0.012785653,0.012136073,0.011540101,0.011824202,0.011952528,0.010504927,0.006635908,0.0056051933,-92.63433,101.83766,-33.491867,48.725113,12.398135,20.813831,8.697565,9.275422,2.7734897,5.2337246,-9.328545,-3.4863636,-4.3603806,rock
0.26216722,2806.872615958848,2688.101798907577,5677.17987556192,0.14835555334010053,117.45383522727273,3.3121784,49.753407,31.991785,35.89669,54.583435,43.864567,33.296143,25.7274,14.394304,28.785864,11.966306,5.5573783,5.6293116,3.7438688,4.4353995,2.605415,5.561214,10.570232,8.400137,12.532884,9.001611,2.966604,4.7828684,7.141439,7.259283,5.183061,6.3348646,7.5657554,5.0264153,8.466552,7.50334,2.35607,1.6929874,3.1899426,3.644526,5.7552824,8.008001,7.8715816,8.725038,14.558488,15.606961,5.7889934,5.865277,2.3601787,4.162494,2.7831545,2.0089355,5.573774,5.333096,3.302986,4.888646,5.4100847,4.9214077,5.378827,9.644453,16.227865,4.2279997,2.1432683,1.9604381,6.2843437,4.8397245,4.264915,2.5821784,5.3974705,5.462612,2.505597,3.4346507,1.3964522,0.96516466,0.89750326,1.9188652,1.7455133,2.4512463,1.930405,2.181351,2.0100806,1.5159568,1.3810644,1.0837972,1.1684344,0.62379044,1.320487,0.7797111,0.5511848,0.44208613,0.529267,0.72559285,0.8726949,0.5599029,0.54458064,0.44774413,0.30562437,0.43608907,0.4062058,0.29771084,0.2637608,0.27836752,0.22138612,0.18640892,0.15515509,0.11068428,0.1130072,0.09176886,0.12175165,0.123883426,0.08325001,0.107190326,0.083077416,0.08594034,0.08800063,0.07334011,0.07331951,0.05675844,0.058923554,0.07248482,0.071833745,0.07450428,0.06216558,0.062367097,0.06255497,0.06267501,0.071550734,0.074405156,0.07324668,0.06838499,0.06694086,0.071961425,0.0634724,-35.39996,73.69067,-20.220226,17.177567,14.948895,10.214969,7.60081,1.5895824,4.1754875,0.74550146,-0.3865784,-1.3119746,-2.0403228,rock
0.27082688,3488.5019910192823,3241.5783078348077,7659.9582185324825,0.17507016446732404,123.046875,2.679396,24.330978,35.103436,21.998278,12.279853,13.645593,28.161066,14.515403,5.3003974,4.5674305,10.953641,8.350926,7.9348273,7.698029,6.865798,4.5628967,7.7635,4.6331825,13.279001,8.2569895,2.3060827,3.4201183,7.43574,1.7996653,2.6843266,4.2618546,7.3273077,2.4258544,2.0913413,5.126307,3.9353974,2.3258278,3.444437,11.93448,5.5876303,1.6245341,1.5855973,8.835113,5.69896,5.2694798,3.1508622,1.3939302,1.4183451,3.148321,4.326476,3.1083806,1.4814208,2.4771001,9.276099,3.423151,2.3121133,2.504577,4.611515,4.1740394,1.6276572,1.2535015,0.68610287,0.55294037,0.8700475,1.1894546,0.6597483,0.32801956,0.2579554,0.8821467,0.6796534,0.72379833,0.6737427,0.4852226,0.54516846,0.225043,0.54661417,0.71452373,0.9023056,0.3222252,0.5874249,0.44462597,0.22708529,0.18855605,0.2585693,0.30526283,0.2339368,0.22034234,0.14293586,0.15379828,0.18887919,0.19778858,0.19190408,0.15527484,0.14963044,0.2637571,0.2234199,0.20384344,0.15736258,0.16664496,0.16965008,0.12509958,0.10597753,0.17860173,0.16657665,0.19541894,0.16274942,0.17202199,0.2908337,0.4125385,0.3132502,0.24233657,0.24670684,0.20133626,0.1259442,0.12749015,0.14373374,0.12699592,0.11363988,0.16203687,0.50857174,0.38043758,0.13836187,0.11073211,0.09538649,0.095537215,0.10830129,0.12815736,0.38716266,0.4800444,0.14866848,0.1026542,0.10577514,0.12834792,-58.583797,64.91177,15.929983,5.4289026,7.5244966,9.883128,1.5946642,5.3538227,-1.2404982,-2.0384183,2.4422328,-0.71972054,-0.30926555,rock
0.23462863,2006.8272650214383,2068.839259471319,4149.1717911651685,0.09766418032192575,117.45383522727273,0.347088,3.2024665,8.261869,21.01437,15.45875,10.828776,5.8937597,10.76153,8.406854,4.4630604,4.1424513,3.5770926,7.553319,1.9114982,1.4975808,3.7697284,10.956447,2.6596084,1.9600111,1.3349316,4.0473614,4.916401,1.4015548,0.8218166,2.221759,2.4920418,0.40117994,0.500357,0.74731195,0.29130995,0.5014928,2.3250425,1.5023228,1.9815584,0.9972635,0.15420152,0.1401041,0.728413,0.68532026,0.19719703,0.22938535,1.4002879,1.6910014,0.52543753,0.45979336,0.43481016,0.42974263,0.35586587,1.2785573,1.023769,0.97807926,0.37832758,0.64754033,0.5839051,0.8416815,0.26692766,0.49706894,0.8692795,0.2751648,0.5691536,0.19707485,0.20002748,0.15826242,0.36618876,0.2960795,0.30328715,0.12860174,0.46482307,0.5764663,0.2736827,0.2748217,0.3563699,0.5786333,0.27654484,0.61525154,0.34327602,0.18787181,0.16186297,0.2413995,0.2385017,0.21093503,0.059824444,0.043325827,0.060396977,0.043583103,0.081896916,0.0674529,0.083955325,0.078519486,0.08844272,0.078987986,0.072487004,0.06088488,0.037556842,0.029219348,0.02597941,0.027126525,0.02477374,0.032025646,0.02575863,0.021918269,0.022464907,0.0206034,0.01891179,0.015350346,0.014381909,0.014225585,0.017030474,0.017351948,0.017509088,0.016145675,0.016103873,0.011471378,0.011264124,0.010026032,0.008522468,0.008463485,0.00726533,0.0060766535,0.0035939354,0.0019195023,0.0007915329,0.000219866,4.567773e-05,7.880882e-06,9.3915645e-07,9.196261e-08,3.3800536e-08,-142.41621,116.20546,-32.160263,49.11151,-8.389906,22.885155,-18.317211,20.110556,-22.102661,10.792424,-12.998068,14.083412,-16.392958,rock
0.2647154,2581.5076039009978,2376.171880945244,5390.361939892691,0.1392005631283836,129.19921875,4.0518174,13.806588,9.412896,11.34962,11.604295,9.778521,14.922204,14.701242,15.01132,12.600878,9.074951,5.5067787,4.189259,3.8772295,10.224242,3.9815366,5.0412707,2.471697,4.162947,4.541845,2.4856007,2.854979,8.429248,2.2488577,2.933482,3.7571967,1.0512145,1.5857208,2.6193247,11.922362,10.234526,2.5079443,3.0952146,9.426247,8.151443,1.5900828,2.2413263,4.76165,3.5037718,0.9888868,0.64076716,1.024166,2.4488926,3.3517218,6.694736,1.2492656,0.29989347,0.9286641,5.164592,3.8100817,0.71990067,0.28419134,0.92624444,0.8625373,1.8667274,3.0598693,0.94744056,0.54601693,0.39194968,1.1171478,0.6622808,0.7919204,0.95616287,1.8713098,0.96801585,0.50492764,0.38200644,0.4621333,0.6099579,0.43941003,1.0232502,0.43254864,0.22780518,0.3102286,0.6887936,0.474364,0.36432117,0.16564138,0.26241228,0.23116115,0.20190208,0.35577682,0.1848781,0.33347097,0.22408633,0.34561196,0.30007082,0.3188053,0.32995597,0.59590447,0.404134,0.25372252,0.25407863,0.28751358,0.2540267,0.1861925,0.2638898,0.18544537,0.15390423,0.16423571,0.1775654,0.14567879,0.16872695,0.1292012,0.15044102,0.14428991,0.12652662,0.15332416,0.12670979,0.1291672,0.11770794,0.120357,0.122267246,0.114343196,0.093562625,0.09882168,0.08436481,0.06929695,0.04081217,0.025778323,0.011602349,0.0056890454,0.0020722211,0.00048090605,8.865605e-05,9.71934e-06,9.310464e-07,3.689862e-07,-94.26873,91.89087,-17.601385,45.527332,-15.701893,32.635612,-18.013712,21.570967,-15.723526,16.806913,-18.290829,13.340856,-15.457929,rock
0.25846922,2072.154517807153,2739.7629398430363,4688.517743528857,0.06905497752320186,80.74951171875,0.87692857,13.070056,25.335478,13.276904,8.125339,8.98241,13.763613,13.420789,7.011337,2.6907794,7.0910025,12.608708,24.625307,5.808167,6.628527,4.9931483,26.2689,5.2463937,6.880654,4.6438084,1.9548398,2.1648345,3.7621017,0.6822148,0.9922449,0.96838975,0.28196755,0.5367931,1.0614194,1.3795629,0.6974088,0.1556919,0.5044639,1.0380799,0.4026215,0.19576731,0.16606066,0.80696917,0.47959423,0.69682455,0.7777453,0.21962135,0.7192121,1.3091553,1.178698,0.35855633,0.27059293,0.5452971,1.3869858,0.63852096,0.056266725,0.22656755,0.4313338,0.3855164,0.33122453,0.3024928,0.080968134,0.039056282,0.02325072,0.05921066,0.04728512,0.040631983,0.047520526,0.09226609,0.048657015,0.038725432,0.028999591,0.028328916,0.034931786,0.045826405,0.040537965,0.06897425,0.11685806,0.03975456,0.06126395,0.050209794,0.034207758,0.026574874,0.024379792,0.023252016,0.022985838,0.031303395,0.028083507,0.02497937,0.025404757,0.025978843,0.024938071,0.02329275,0.033719026,0.04383234,0.030248422,0.022119654,0.01515943,0.017838847,0.021295913,0.01785556,0.011302213,0.013604349,0.013208582,0.089345954,0.08324237,0.049324468,0.016045755,0.020741083,0.024100645,0.030230045,0.028758347,0.031290676,0.02443931,0.023215132,0.024868652,0.022958908,0.020188374,0.017918192,0.017180024,0.014006989,0.01281546,0.009212703,0.007920496,0.007655832,0.010200907,0.011715742,0.010068569,0.009726881,0.009370066,0.008926876,0.008525489,0.008094284,-193.64023,98.43583,44.057926,23.775482,12.580539,8.4607725,2.1690934,-0.34457627,-8.183045,-9.117337,-5.2378254,-4.8426147,-1.3743817,rock
0.24744609,2140.283087371019,2245.902488299257,4831.456245015226,0.09114092408642692,112.34714673913044,23.615864,54.768097,58.517933,123.34752,47.98216,45.8592,36.45428,34.730392,21.50483,15.997051,13.351347,16.44307,19.67006,2.5296094,21.401758,13.581651,15.637955,7.359917,10.890231,16.3938,6.5244784,3.2564492,9.09153,5.265013,11.607035,11.628559,1.2778863,1.1361383,2.0054495,3.4581974,3.3551137,1.4255897,1.4225072,3.080987,2.0706487,1.2286391,1.8447007,5.218348,2.2669668,1.7007813,1.4409004,0.7766617,0.7548943,0.95754135,2.018175,0.9872358,0.8172454,1.6977115,2.54197,0.86464244,0.7267795,0.43481213,0.84405667,1.2807853,1.296172,2.4446962,1.56728,1.4061335,0.5155495,1.2887814,0.72642577,0.582348,0.40952107,1.2610123,1.0029979,0.51183856,0.5856994,0.46716478,0.6788491,0.7990081,1.0831057,0.47622243,0.58679944,0.33199012,0.70502853,0.5278374,0.39320558,0.31329462,0.5705361,0.4874067,0.38019827,0.5337077,0.25455454,0.25481588,0.1910082,0.47266605,0.23164697,0.21937819,0.1871928,0.39780864,0.45931414,0.3102025,0.22823632,0.2249318,0.20084211,0.14664657,0.20318902,0.24228163,0.24332118,0.15219004,0.17230596,0.16064121,0.17716652,0.1667065,0.16183016,0.13906686,0.10344671,0.10622553,0.102652155,0.10246179,0.08687722,0.06830164,0.06422681,0.066345684,0.06667483,0.04894273,0.035082508,0.027829353,0.021294564,0.014018116,0.0079698935,0.0034798204,0.001142479,0.00034154722,6.734066e-05,7.373492e-06,4.6724713e-07,8.468978e-08,-83.36812,103.90498,-13.954149,56.912594,-14.43371,32.197018,-14.136274,19.167461,-9.342846,13.166685,-11.730691,8.401818,-9.400614,rock
0.27470538,2639.1039096273103,2512.6868986501595,5302.99675536543,0.1324454393851508,117.45383522727273,0.5989053,15.633858,29.554256,28.934908,19.128782,30.225538,55.204163,39.557663,6.5980744,10.085201,12.416653,12.304512,4.8949337,6.9679284,14.435959,14.366481,4.6510334,8.61724,6.6018615,7.7427855,8.37189,2.266707,9.852988,6.755802,2.0143003,2.7117903,3.3120565,3.5289087,3.257616,4.196077,9.254573,4.1038823,1.6097636,1.8113893,4.7755995,4.591118,4.3155975,9.05709,8.596931,2.2488863,2.4473786,2.435486,3.0728204,3.4776652,6.24078,11.817682,2.9263256,1.1162874,1.1715021,4.0474577,2.7288663,1.5024068,1.1967852,1.8189685,1.5782259,2.635187,2.7804155,0.74354565,0.551979,0.82323635,1.4766272,1.1835061,0.90436167,0.8361278,0.920276,0.77560085,0.9490998,0.5644754,0.43264985,0.41916034,0.9477505,1.3014549,0.70170975,0.5686493,0.54162586,0.7429083,0.7942714,0.48996863,0.3243987,0.55292106,0.6317891,0.6664432,0.7588678,0.4773782,0.37365222,0.43730485,0.5138069,0.47121087,0.485883,0.5694661,0.41320017,0.34817827,0.33568987,0.3299444,0.13647069,0.2890546,0.19365208,0.15292375,0.104426526,0.14376876,0.123702236,0.19474906,0.25013345,0.07442601,0.09844076,0.07727837,0.08212855,0.09900274,0.079336084,0.06322385,0.05088215,0.060008604,0.06817286,0.07777744,0.052937377,0.04569735,0.040579364,0.038639337,0.043430507,0.0448517,0.037056554,0.031244433,0.028266806,0.027181063,0.02565636,0.0258841,0.02581231,0.0259455,-89.08187,81.389336,-12.564247,22.778366,-7.066863,-0.49518725,2.7513535,-3.4457023,-7.7104874,-0.84374905,-4.8830285,-2.6869316,-5.2926173,rock
